trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
77,False,"{'a': 0.002, 'e': 0.9881654168420767}",25,0,-225.9686931807075,"{0: 12, 1: 1, 2: 8, 3: 0, 4: 4}",0
78,False,"{'a': 0.002, 'e': 0.9878566566949545}",25,0,-172.50229800111222,"{0: 11, 1: 5, 2: 6, 3: 1, 4: 2}",0
79,False,"{'a': 0.002, 'e': 0.9875439451225226}",30,0,-49.50070243004913,"{0: 22, 1: 2, 2: 5, 3: 1, 4: 0}",0
80,False,"{'a': 0.002, 'e': 0.9872272833756269}",25,0,-167.78447919418343,"{0: 16, 1: 0, 2: 6, 3: 0, 4: 3}",0
81,False,"{'a': 0.002, 'e': 0.986906672720914}",20,6,-64.16266230779276,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 1}",1
82,False,"{'a': 0.002, 'e': 0.9865821144408262}",20,0,-7.632258257028136,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
83,False,"{'a': 0.002, 'e': 0.986253609833596}",25,0,-104.97243897855262,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
84,False,"{'a': 0.002, 'e': 0.9859211602132415}",25,0,-224.51278709452092,"{0: 13, 1: 2, 2: 5, 3: 1, 4: 4}",0
85,False,"{'a': 0.002, 'e': 0.9855847669095608}",20,0,-155.37954284444226,"{0: 9, 1: 4, 2: 3, 3: 2, 4: 2}",1
86,False,"{'a': 0.002, 'e': 0.9852444312681263}",25,4,-165.7354632857901,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 3}",1
87,False,"{'a': 0.002, 'e': 0.9849001546502806}",25,0,-64.2553097512074,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
88,False,"{'a': 0.002, 'e': 0.9845519384331295}",35,0,-89.90400129108926,"{0: 27, 1: 1, 2: 5, 3: 1, 4: 1}",0
89,False,"{'a': 0.002, 'e': 0.9841997840095373}",25,12,-38.14471194070425,"{0: 7, 1: 4, 2: 1, 3: 1, 4: 0}",1
90,False,"{'a': 0.002, 'e': 0.9838436927881214}",25,17,-1.770119582154282,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
91,False,"{'a': 0.002, 'e': 0.9834836661932461}",20,0,-122.86804666176972,"{0: 10, 1: 0, 2: 9, 3: 0, 4: 1}",0
92,False,"{'a': 0.002, 'e': 0.9831197056650174}",25,0,-87.05987542791667,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
93,False,"{'a': 0.002, 'e': 0.9827518126592768}",25,0,-168.56199485689336,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
94,False,"{'a': 0.002, 'e': 0.9823799886475959}",20,0,-71.67402022214269,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 0}",0
95,False,"{'a': 0.002, 'e': 0.9820042351172703}",20,0,-112.52211541015043,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
96,False,"{'a': 0.002, 'e': 0.9816245535713135}",20,0,-172.02166860273647,"{0: 11, 1: 2, 2: 2, 3: 2, 4: 3}",0
97,False,"{'a': 0.002, 'e': 0.9812409455284513}",30,0,-81.31603489087908,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
98,False,"{'a': 0.002, 'e': 0.9808534125231153}",25,0,-96.99862252667778,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
99,False,"{'a': 0.002, 'e': 0.9804619561054371}",20,0,-24.2366456247533,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
100,False,"{'a': 0.002, 'e': 0.9800665778412416}",20,0,-93.18083100541672,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
101,False,"{'a': 0.002, 'e': 0.9796672793120416}",20,0,-87.09481397027355,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
102,False,"{'a': 0.002, 'e': 0.9792640621150305}",20,0,-111.68825852224131,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
103,False,"{'a': 0.002, 'e': 0.9788569278630767}",20,0,-41.6398708794551,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
104,False,"{'a': 0.002, 'e': 0.9784458781847165}",20,0,-83.4726657248293,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
105,False,"{'a': 0.002, 'e': 0.9780309147241483}",20,0,-86.73542331167663,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
106,False,"{'a': 0.002, 'e': 0.9776120391412251}",30,0,-56.097049280908344,"{0: 22, 1: 2, 2: 5, 3: 1, 4: 0}",0
107,False,"{'a': 0.002, 'e': 0.9771892531114489}",30,0,-124.6724991280918,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
108,False,"{'a': 0.002, 'e': 0.9767625583259631}",20,0,-117.53336229831746,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
109,False,"{'a': 0.002, 'e': 0.9763319564915464}",20,0,-44.240794643437766,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
110,False,"{'a': 0.002, 'e': 0.9758974493306055}",35,0,-352.7006841103155,"{0: 22, 1: 1, 2: 3, 3: 1, 4: 8}",0
111,False,"{'a': 0.002, 'e': 0.9754590385811684}",20,0,-68.31374796656615,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
112,False,"{'a': 0.002, 'e': 0.9750167259968777}",35,0,-225.9851630717515,"{0: 24, 1: 1, 2: 4, 3: 2, 4: 4}",0
